Tue Apr 11 14:22:40 2023    ni-5106.profile

         80605181 function calls (77615993 primitive calls) in 205.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7091    0.026    0.000    0.255    0.000 <string>:1(join)
     7087    0.049    0.000    0.250    0.000 strategies.py:1093(load_collection_from_subq)
    35521    0.093    0.000    0.248    0.000 operators.py:1039(is_precedent)
     7094    0.038    0.000    0.247    0.000 elements.py:1894(and_)
   113466    0.070    0.000    0.245    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
   307117    0.155    0.000    0.245    0.000 connections.py:230(string_decoder)
    21270    0.071    0.000    0.242    0.000 attributes.py:635(set_committed_value)
   751647    0.241    0.000    0.241    0.000 compiler.py:309(type)
    14183    0.066    0.000    0.239    0.000 elements.py:1971(self_group)
    42596    0.192    0.000    0.239    0.000 session.py:2221(_is_clean)
177514/177501    0.156    0.000    0.238    0.000 path_registry.py:263(__getitem__)
    21261    0.091    0.000    0.236    0.000 session.py:3026(object_session)
    35515    0.124    0.000    0.236    0.000 type_api.py:452(_cached_bind_processor)
     7087    0.044    0.000    0.235    0.000 result.py:1185(first)
    28422    0.235    0.000    0.235    0.000 result.py:365(<listcomp>)
     7087    0.028    0.000    0.231    0.000 custom_template.py:15(mappings)
    49609    0.134    0.000    0.231    0.000 result.py:497(_merge_cols_by_none)
    14415    0.046    0.000    0.231    0.000 base.py:494(add)
    21269    0.093    0.000    0.230    0.000 strategies.py:570(<listcomp>)
     7091    0.022    0.000    0.230    0.000 selectable.py:829(_create_join)
    35435    0.110    0.000    0.228    0.000 encode_id.py:9(generate)
    35515    0.161    0.000    0.227    0.000 {method 'escape' of '_mysql.connection' objects}
    14174    0.041    0.000    0.226    0.000 strategies.py:1681(load_scalar_from_joined_exec)
   269406    0.145    0.000    0.224    0.000 langhelpers.py:773(reset)
    14207    0.072    0.000    0.223    0.000 attr.py:193(for_modify)
     7087    0.045    0.000    0.221    0.000 dbal_contact.py:157(full_name)
    35435    0.087    0.000    0.220    0.000 re.py:184(sub)
    21273    0.162    0.000    0.219    0.000 path_registry.py:89(contains_mapper)
     7100    0.076    0.000    0.218    0.000 selectable.py:711(_init_collections)
     7097    0.031    0.000    0.218    0.000 selectable.py:496(alias)
     7096    0.035    0.000    0.217    0.000 local.py:345(__getattr__)
    21272    0.088    0.000    0.216    0.000 mapper.py:2457(<listcomp>)
     7087    0.028    0.000    0.216    0.000 base.py:934(limit_clause)
     7087    0.056    0.000    0.214    0.000 selectable.py:67(_offset_or_limit_clause)
    28362    0.121    0.000    0.214    0.000 query.py:3004(_should_nest_selectable)
    14180    0.137    0.000    0.213    0.000 query.py:1501(filter)
    35447    0.119    0.000    0.213    0.000 elements.py:2945(__bool__)
    21275    0.083    0.000    0.209    0.000 selectable.py:3709(__init__)
     7096    0.075    0.000    0.209    0.000 elements.py:1860(_construct)
    21334    0.070    0.000    0.208    0.000 elements.py:2986(self_group)
    28364    0.141    0.000    0.206    0.000 visitors.py:153(chain)
    35509    0.137    0.000    0.197    0.000 session.py:387(_connection_for_bind)
    14419    0.084    0.000    0.196    0.000 elements.py:3629(__init__)
   191543    0.196    0.000    0.196    0.000 strategies.py:651(create_row_processor)
   765979    0.194    0.000    0.194    0.000 elements.py:706(_select_iterable)
    28348    0.193    0.000    0.193    0.000 mappers.py:5(<genexpr>)
  1738143    0.193    0.000    0.193    0.000 {method 'add' of 'set' objects}
